"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000004274","TWIST2",33,44,173,85,229,131,46,87
"ENSGALG00000049860","ENSGALG00000049860",14,6,34,12,53,23,3,11
"ENSGALG00000004288","HDAC4",530,460,1664,1432,3460,1577,701,876
"ENSGALG00000042150","ENSGALG00000042150",11,2,12,5,23,22,4,11
"ENSGALG00000004302","NDUFA10",2805,2406,8758,8097,16626,6716,3597,3274
"ENSGALG00000025571","gga-mir-1845",0,1,0,0,0,0,0,0
"ENSGALG00000023742","AHR2",8,8,40,15,164,31,17,2
"ENSGALG00000004322","AHR1B",252,176,714,592,732,389,90,111
"ENSGALG00000038311","COL18A1",1019,1278,6174,5053,10425,3540,1159,880
"ENSGALG00000030511","SLC19A1",1377,1318,4458,5092,5890,3032,1242,911
"ENSGALG00000004394","ENSGALG00000004394",42,52,162,181,368,154,55,97
"ENSGALG00000005974","COL6A1",38,50,144,222,492,172,66,36
"ENSGALG00000039216","COL6A2",37,35,175,124,451,159,68,33
"ENSGALG00000006131","FTCD",0,6,46,31,83,27,8,16
"ENSGALG00000006133","ENSGALG00000006133",0,1,3,3,9,9,3,3
"ENSGALG00000004363","ENSGALG00000004363",467,341,1288,898,1395,584,267,399
"ENSGALG00000047621","YBEY",120,91,396,499,917,412,169,231
"ENSGALG00000006141","POFUT2",0,0,0,0,1,0,0,0
"ENSGALG00000046256","ENSGALG00000046256",18,9,54,9,127,16,13,43
"ENSGALG00000006198","LSS",330,234,1057,842,1354,601,231,203
"ENSGALG00000006217","S100B",11,15,43,71,57,41,7,7
"ENSGALG00000046150","DIP2A",403,361,1294,1488,2543,1308,437,625
"ENSGALG00000050048","ENSGALG00000050048",8,3,6,6,23,4,8,6
"ENSGALG00000007021","PCNT",922,904,2988,2531,4880,1859,892,964
"ENSGALG00000047637","C21orf58",22,13,54,35,72,41,9,3
"ENSGALG00000007503","KMO",17,9,48,28,71,31,26,31
"ENSGALG00000007511","ITGB2",8,8,26,17,63,19,8,7
"ENSGALG00000007513","FAM207A",260,258,1177,1000,1528,433,215,95
"ENSGALG00000007527","ADARB1",138,154,574,506,1652,647,229,331
"ENSGALG00000030419","GLS",76,68,216,191,466,146,108,91
"ENSGALG00000007651","STAT1",344,331,1154,1366,2922,1080,438,493
"ENSGALG00000033087","STAT4",19,10,27,19,80,30,14,30
"ENSGALG00000050004","ENSGALG00000050004",3,6,13,2,20,9,1,7
"ENSGALG00000007712","MYO1B",513,440,1739,2270,4578,2197,986,927
"ENSGALG00000052218","ENSGALG00000052218",2,1,0,12,7,13,6,3
"ENSGALG00000025884","NABP1",261,196,750,754,1580,833,469,492
"ENSGALG00000054460","ENSGALG00000054460",16,18,38,20,121,42,15,32
"ENSGALG00000028174","ENSGALG00000028174",7,11,23,14,113,19,17,24
"ENSGALG00000007759","TMEFF2",43,36,91,84,156,92,40,17
"ENSGALG00000051363","ENSGALG00000051363",1,3,5,5,3,0,4,8
"ENSGALG00000051649","ENSGALG00000051649",2,1,7,8,1,3,4,10
"ENSGALG00000054004","ENSGALG00000054004",2,0,19,1,21,2,7,9
"ENSGALG00000047944","ENSGALG00000047944",1,5,12,1,2,2,1,5
"ENSGALG00000051288","ENSGALG00000051288",11,12,29,24,69,16,12,11
"ENSGALG00000053761","ENSGALG00000053761",3,4,4,0,13,2,4,1
"ENSGALG00000052248","ENSGALG00000052248",0,0,0,9,8,1,8,6
"ENSGALG00000049791","ENSGALG00000049791",11,5,31,15,60,14,18,13
"ENSGALG00000053947","ENSGALG00000053947",11,34,10,5,46,10,12,18
"ENSGALG00000052239","ENSGALG00000052239",2,4,20,11,27,8,11,10
"ENSGALG00000053051","ENSGALG00000053051",11,14,36,13,38,26,22,9
"ENSGALG00000047158","ENSGALG00000047158",2,4,3,0,10,2,1,1
"ENSGALG00000007777","SLC39A10",459,410,1513,1432,2630,1285,465,728
